(-80.4276237, 37.2418181)	(-80.4275484, 37.241836)
(-80.4276237, 37.2418181)	(-80.4276798, 37.2419332)
(-80.4360492, 37.2379757)	(-80.435991, 37.2378542)
(-80.4359793, 37.2377518)	(-80.435991, 37.2378542)
(-80.435949, 37.2376844)	(-80.4359793, 37.2377518)
(-80.4319183, 37.2364365)	(-80.43217779090938, 37.2373602489063)
(-80.43126623338104, 37.23665711282758)	(-80.4319183, 37.2364365)
(-80.43126623338104, 37.23665711282758)	(-80.43178854020023, 37.23648371450132)
(-80.43217779090938, 37.2373602489063)	(-80.4316985100918, 37.237560333714704)
(-80.4316985100918, 37.237560333714704)	(-80.43120697531641, 37.23773592273662)
(-80.43646245552694, 37.238671909206424)	(-80.436435, 37.2386833)
(-80.436435, 37.2386833)	(-80.4362207, 37.2387542)
(-80.4362207, 37.2387542)	(-80.4361672, 37.23866)
(-80.43609620000001, 37.2385288)	(-80.4360962, 37.2385288)
(-80.4360962, 37.2385288)	(-80.4361672, 37.23866)
(-80.43607349999999, 37.2384869)	(-80.4360962, 37.2385288)
(-80.4360962, 37.2385288)	(-80.43609620000001, 37.2385288)
(-80.4364999461954, 37.23938132949488)	(-80.43558752128911, 37.241029307129104)
(-80.43558752128911, 37.241029307129104)	(-80.43532015610805, 37.24141773941738)
(-80.42759294811836, 37.24205169836947)	(-80.42738875344962, 37.24163416097037)
(-80.42738875344962, 37.24163416097037)	(-80.42724008013938, 37.241194010856375)
(-80.42847648183286, 37.23875533519305)	(-80.42847818546323, 37.23830347369253)
